Modelo,AIRE09TR,AIRE12TR,AIRE18TR,AIRE24TR,AIRE14TR 2X1,AIRE18TR 2X1,AIRE21TR 3X1,AIRE24TR 3X1,AIRE27TR 4X1,AIRE42TR 5X1,SIAL D 18W,SIAL D 24W,
Potencia calefaccion kW,2.7,3.9,5.6,7.1,4.5,6.0,7.2,7.9,9.0,13.5,6.0,8.0,
SCOP,4,4,5.1,4,4,4,4,4,4,,5.4,5.4,
Potencia frigorifica kW,2.6,3.5,5.0,7.0,4.1,5.2,6.3,7.2,8,12.5,5.2,7,
Potencia de compresor kW,,,,,,,,,,,,,
Prestacion energetica,A++,A++,A++,A++,A++,A++,A++,A++,A++,A++,A+++,A++,
SEER,6.1,6.1,6.1,6.3,6.1,6.1,6.1,6.1,6.1,6.1,7,6.3,
Potencia electrica nominal kW,0.86,1.14,1.54,2.23,1,1.38,1.47,1.87,2.25,3.61,1.38,2.17,
Tipo de maquina,Split,Split,Split,Split,Multi-split,Multi-split,Multi-split,Multi-split,Multi-split,Multi-split,Conductos,Conductos,
Ficha tecnica,AI_1,AI_1,AI_1,AI_1,AI_1,AI_1,AI_1,AI_1,AI_1,AI_1,AI_3,AI_2,
COP,3.86,3.61,3.69,3.17,4.50,4.20,4.04,3.89,4.00,3.75,4.2,3.71,
EER,3.04,2.98,3.25,3.14,4.10,3.77,4.29,3.85,3.56,3.46,3.77,3.23,
Declaracion conformidad,DCAI_1,DCAI_1,DCAI_1,DCAI_1,DCAI_1,DCAI_1,DCAI_1,DCAI_1,DCAI_1,DCAI_1,DCA_1,DCA_1,
Tuberia gas,3/8,3/8,1/2,3/8,3/8,3/8,3/8,3/8,3/8,3/8,3/8,5/8,
Tuberia liquido,1/4,1/4,1/4,3/8,1/4,1/4,1/4,1/4,1/4,1/4,1/4,3/8,
Carga de refrigerante Kg,0.48,0.64,1.17,1.44,0.95,1.07,1.45,1.45,2.2,3,1.07,1.45,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
